Term,Definition,URL
3-6-3 Rule: Slang Term for How Banks Used to Operate,"The 3-6-3 rule is a slang term from the 1950s, 1960s, and 1970s, which involved paying depositors 3% interest on account, lending money at 6% interest, and the ability to be playing golf by 3 p.m./nThe 3-6-3 rule describes the structure behind paying account holders a lower interest rate on deposits and changing a higher rate when loaning out the money/nThe net interest rate spread is the difference between the rates a bank pays customers and what it receives in income-generating activities/nThe government implemented tighter banking regulations after the Great Depression controlling the rate banks could lend money and reducing bank-to-bank competition/nLooser regulation after the 1970s allowed banks to operate in a more competitive and complex fashion and provide additional services to customers",https://www.investopedia.com/terms/1/3_6_3_rule.asp
What Is 3C1 and How Is the Exemption Applied?,3C1 refers to a portion of the Investment Company Act of 1940 that exempts certain private investment companies from regulations./nA firm that's defined as aninvestment companymust meet specific regulatory and reporting requirements stipulated by the SEC./n3C1 allows private funds with 100 or fewer investors and no plans for an initial public offering to sidestep certain SEC requirements.,https://www.investopedia.com/terms/1/3c1.asp
"3D Printing: What It Is, How It Works, Examples","Three-dimensional (3D) printing is an additive manufacturing process in which a physical object is created from a digital design by printing thin layers of material and then fusing them together./nSome industries, such as hearing aids manufacturers, airline manufacturers, and car manufacturers, use 3D printing to create prototypes and mass produce their products using custom scans./nWhile it is currently too slow to be used in mass production, 3D printing technology is still evolving and has the potential to massively disrupt both the manufacturing logistics and inventory management industries.",https://www.investopedia.com/terms/1/3d-printing.asp
3/27 Adjustable-Rate Mortgage (ARM),"A 3/27 adjustable-rate mortgage (ARM) is a 30-year mortgage with a three-year fixed interest rate period./nThe fixed interest rate is generally lower than the current rates on 30-year conventional mortgages./nAfter three years, and for the remaining 27 years of the loan, the interest rate will float based on an index, such as the yield on one-year U.S. Treasury bills./nBecause their monthly payments can rise significantly once the interest rate adjusts, borrowers should plan carefully before taking out a 3/27 ARM to make sure it will still be affordable.",https://www.investopedia.com/terms/1/327arm.asp
3(c)(7) Exemption: What It Is and How It Works,"The 3(c)(7) exemption refers to the Investment Company Act of 1940's section permitting qualifying private funds exemption from some SEC regulations./nPrivate funds must not plan to issue an IPO, and their investors must be qualified purchasers to qualify for the 3C7 exemption./n3C7 funds with over 1,999 investors are required to register with the SEC.",https://www.investopedia.com/terms/1/3c7.asp
"3P Oil Reserves: What it Means, How it Works","3P oil reserves are the total amount of estimated reserves inclusive of all proven and unproven reserves that a company has access to./nEach category of reserve used in the calculation has a probability assigned to it in terms of the viability of recovering crude oil./nMost oil and gas companies provide rosy estimates of their 3P oil reserves; hence, investors rely on findings by independent consultants to assess their stock picks.",https://www.investopedia.com/terms/1/3p.asp
"30-Year Treasury: Meaning, History, Examples","30-year Treasuries are bonds issued by the U.S. government and have a maturity of 30 years./nOther securities issued by the U.S. government include Treasury bills, notes, and Inflation-Protected Securities (TIPS)./n30-year Treasuries pay interest semiannually until they mature and at maturity pay the face value of the bond.",https://www.investopedia.com/terms/1/30-yeartreasury.asp
"401(a) Plan: What It Is, Contribution Limits, Withdrawal Rules","A 401(a) plan is employer-sponsored, and both the employer and employee can contribute./n401(a) plans are usually used by government and non-profit organizations./n401(a) plans give the employer a larger share of control over how the plan is invested./nAn employee can withdraw funds from a 401(a) plan through a rollover to a different qualified retirement plan, a lump-sum payment, or an annuity./nInvestments in 401(a) plans are low risk and typically include government bonds and funds focused on value-based stocks.",https://www.investopedia.com/terms/1/401a-plan.asp
What Is a 403(b) Tax-Sheltered Annuity Plan?,The 403(b) Tax-Sheltered Annuity Plan serves employees of public schools and tax-exempt organizations./nContributions to 403(b) plans are made through payroll deductions./nThe IRS limits how much employees can contribute to their 403(b) plans./nInvestment choices may be more limited with a 403(b) and some accounts offer less protection from creditors than 401(k)s.,https://www.investopedia.com/terms/1/403bplan.asp
"341 Meeting: What It Is, How It Works, Example","A 341 meeting is intended to establish the facts of the bankruptcy in question and to facilitate the negotiation of a repayment plan between the debtor and their creditors./nTo be considered legally valid, the meeting must include both the individual filing for bankruptcy and the court-appointed bankruptcy trustee./nGenerally, 341 meetings occur at the offices of the trustee, rather than in a courtroom.",https://www.investopedia.com/terms/1/341-meeting.asp
"408(k) Plan: What it is, How it Works, Compared to 401(k)","A 408(k) is an employer-sponsored retirement plan akin to a 401(k)./nThe plan is also referred to as a simplified employee pension, which is a type of individual retirement account./nThe 408(k) plan is available to companies of any size as well as self-employed individuals who are subject to the same contribution limits as employers./nOnly employer contributions are allowed into the 408(k) plan./nThe IRS limits how much employers can contribute to their employees' 408(k) plans.",https://www.investopedia.com/terms/1/408-k-plan.asp
What Is a 401(k) and How Does It Work?,A 401(k) plan is a company-sponsored retirement account in which employees can contribute a percentage of their income. Employers often offer to match at least some of these contributions./nThere are two basic types of 401(k)s—traditional and Roth—which differ primarily in how they're taxed./nEmployer contributions can be made to both traditional and Roth 401(k) plans.,https://www.investopedia.com/terms/1/401kplan.asp
"412(i) Plan: What it Means, How it Works","A 412(i) plan was a defined-benefit pension plan that was designed for small business owners in the U.S./nA 412(i) was a tax-qualified benefit plan, meaning the owner's contributions to the plan became a tax deduction for the company./nGuaranteed annuities or a combination of annuities and life insurance were the only things that could fund the plan./nDue to tax avoidance schemes that were occurring under 412(i), the Internal Revenue Service (IRS) replaced it with 412(e)(3).",https://www.investopedia.com/terms/1/412i.asp
"48-Hour Rule: What It is, How It Works, Example","The 48-hour rule refers to a part of the mortgage allocation process related to the buying and selling of to-be-announced (TBA) mortgage-backed securities (MBS)./nThe 48-hour rule stipulates that the seller of an MBS notifies the buyer with the details of the underlying mortgages that make up the MBS by 3 p.m. Eastern Time, 48 hours before the settlement date./nThe Securities Industry and Financial Markets Association (SIFMA) enforces the 48-hour rule./nWhen an MBS is traded in the secondary market, the underlying mortgages are not known, which helps facilitate trading and liquidity./nCertain information is agreed upon when an MBS trade is made, such as the price, par, and coupon, but not the underlying mortgages./nThe TBA market is the second most traded secondary market after the U.S. Treasury market.",https://www.investopedia.com/terms/1/48-hour-rule.asp
"500 Shareholder Threshold: What it is, How it Works","The 500 shareholder threshold was a rule mandated by the SEC that required companies to publicly disclose financial statements and other information if they achieved 500 or more distinct shareholders./nThe rule, in place from 1964-2012, was meant to discourage fraud, opacity, and misinformation alleged in the over-the-counter market./nToday, the shareholder threshold is now 2,000, largely in response to the rapid growth of investment in tech start-ups that caused the 500 limit to be reached too quickly.",https://www.investopedia.com/terms/5/500-shareholder-threshold.asp
5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM) Examples,"5/1 hybrid adjustable-rate mortgages (ARMs) offer an introductory fixed rate for five years, after which the interest rate adjusts annually./nWhen ARMs adjust, interest rates change based on their marginal rates and the indexes to which they’re tied./nHomeowners generally enjoy lower mortgage payments during the introductory period./nA fixed-rate mortgage may be preferable for homeowners who prefer predictability with their mortgage payments and interest costs.",https://www.investopedia.com/terms/1/5-1_arm.asp
5/6 Hybrid Adjustable-Rate Mortgage (ARM) Definition,"A 5/6 hybrid ARM has an interest rate fixed for the first five years, then adjusts every six months./nThe adjustable interest rate on 5/6 hybrid ARMs is usually tied to a common benchmark index./nA risk associated with an adjustable interest rate is that a rising rate may make monthly payments unaffordable.",https://www.investopedia.com/terms/1/5-6_hybrid_arm.asp
457 Plan,"The 457 plan is an IRS-sanctioned, tax-advantaged employee retirement plan./nThe plan is offered only to public service employees and employees at tax-exempt organizations./nParticipants are allowed to contribute up to 100% of their salaries up to a dollar limit for the year./nThe interest and earnings in the account are not taxed until the funds are withdrawn. The exception is the Roth option, if available, in which only post-tax money is deposited.",https://www.investopedia.com/terms/1/457plan.asp
"501(c)(3) Organization: What It Is, Pros and Cons, Examples",Section 501(c)(3) is a portion of the U.S. Internal Revenue Code (IRC) and a specific tax category for nonprofit organizations./nOrganizations that meet the requirements of Section 501(c)(3) are exempt from federal income tax./nThe IRS recognizes more than 30 types of nonprofit organizations but only organizations that qualify for 501(c)(3) status can say that donations made to them are tax deductible./n501(c)(3) organizations must pay their employees fair market value wages./nThe nonprofit organization must not deviate from its purpose or mission to receive its favorable tax treatment.,https://www.investopedia.com/terms/1/501c3-organizations.asp
"501(c) Organization: What They Are, Types, and Examples","Section 501(c) of the Internal Revenue Code designates certain types of organizations as tax-exempt—they pay no federal income tax./nCommon tax-exempt organizations include charities, government entities, advocacy groups, educational and artistic groups, and religious entities./nThe 501(c)(3) organization is probably the most familiar entity./nDonations to certain qualified tax-exempt organizations may be deductible from a taxpayer's income.",https://www.investopedia.com/terms/1/501c.asp
"51% Attack: Definition, Who Is At Risk, Example, and Cost","Blockchains are distributed ledgers that record every transaction made on a cryptocurrency's network./nA 51% attack is an attack on a blockchain by an entity or group that controls more than 50% of the network./nAttackers with majority network control can interrupt the recording of new blocks by preventing other miners from completing blocks./nChanging historical blocks is impossible due to the chain of information stored in Bitcoin's blockchain./nAlthough a successful attack on Bitcoin or Ethereum is unlikely, smaller networks are frequent targets for 51% attacks.",https://www.investopedia.com/terms/1/51-attack.asp
"52-Week Range: Overview, Examples, Strategies","The 52-week range is designated by the highest and lowest published price of a security over the previous year./nAnalysts use this range to understand volatility./nTechnical analysts use this range data, combined with trend observations, to get an idea of trading opportunities.",https://www.investopedia.com/terms/1/52-week-range.asp
"52-Week High/Low: Definition, Role in Trading, and Example","The 52-week high/low is the highest and lowest price at which a security has traded during the time period that equates to one year and is viewed as a technical indicator./nThe 52-week high/low is based on the daily closing price for the security./nTypically, the 52-week high represents a resistance level, while the 52-week low is a support level that traders can use to trigger trading decisions.",https://www.investopedia.com/terms/1/52weekhighlow.asp
"60-Plus Delinquencies: Meaning, Foreclosure, Example","The 60-plus delinquency rate is a metric typically used to measure the number of mortgage loans that are more than 60 days past due on their monthly payments./nA 60-plus delinquency rate is often expressed as a percentage of a group of loans that have been underwritten within a specified time period, such as one year./nThe 60-plus delinquency rate is helpful because it shows lenders the consumers who might default on their loans.",https://www.investopedia.com/terms/1/60-plus-delinquencies.asp
"8-K (8K Form): Definition, What It Tells You, Filing Requirements","The SEC requires companies to file an 8-K to announce significant events relevant to shareholders./nCompanies have four business days to file an 8-K for most specified items./nPublic companies use Form 8-K as needed, unlike some other forms that must be filed annually or quarterly./nForm 8-K is a valuable source of complete and unfiltered information for investors and researchers.",https://www.investopedia.com/terms/1/8-k.asp
"The 80-20 Rule (aka Pareto Principle): What It Is, How It Works","The 80-20 rule maintains that 80% of outcomes comes from 20% of causes./nThe 80-20 rule prioritizes the 20% of factors that will produce the best results./nA principle of the 80-20 rule is to identify an entity's best assets and use them efficiently to create maximum value./nThis rule is a precept, not a hard-and-fast mathematical law./nPeople sometimes mistakenly conclude that if 20% of factors should get priority, then the other 80% can be ignored.",https://www.investopedia.com/terms/1/80-20-rule.asp
"80-10-10 Mortgage: Meaning, Benefits and Examples","An 80-10-10 mortgage is structured with two mortgages: the first being a fixed-rate loan at 80% of the home’s cost; the second being 10% as a home equity loan; and the remaining 10% as a cash down payment./nThis type of mortgage scheme reduces the down payment of a home without having to pay private mortgage insurance (PMI), helping borrowers obtain a home more easily with the up-front costs./nHowever, borrowers will face relatively larger monthly mortgage payments and may see higher payments due on the adjustable loan if interest rates increase.",https://www.investopedia.com/terms/8/80_10_10_mortgage.asp
83(b) Election: Tax Strategy and When and Why to File,"The 83(b) election is a provision under the Internal Revenue Code (IRC) that gives an employee, or startup founder, the option to pay taxes on the total fair market value of restricted stock at the time of granting./nThe 83(b) election applies to equity that is subject to vesting./nThe 83(b) election alerts the Internal Revenue Service (IRS) to tax the elector for the ownership at the time of granting, rather than at the time of stock vesting.",https://www.investopedia.com/terms/1/83b-election.asp
"8(a) Firm: Meaning, Purpose, Qualifications","8(a) firms are small businesses that are owned and controlled by socially and economically disadvantaged individuals./nThe (8)a Business Development Program is run and administered by the SBA, or Small Business Administration, with the goal of giving a leg up to specially selected small businesses./nThe 8(a) program helps aspiring entrepreneurs obtain government contracts and also includes mentoring, procurement assistance, training, financial assistance, management assistance, and technical assistance, among other benefits./nApplicants go through a rigorous application process for 8(a) status. 8 (a) status lasts up to nine years from when it is granted.",https://www.investopedia.com/terms/1/8a-firm.asp
"90/10 Investing Strategy: Definition, How It Works, Pros & Cons",The 90/10 strategy calls for allocating 90% of your investment capital to low-cost S&P 500 index funds and the remaining 10% to short-term government bonds./nWarren Buffett described the strategy in a 2013 letter to his company's shareholders./nA 90/10 investing strategy is very aggressive compared to other common asset allocation models and probably not for everyone.,https://www.investopedia.com/terms/1/90-10-strategy.asp
"China A-Shares: Definition, History, Vs. B-Shares","China A-shares are the stock shares of mainland China-based companies that trade on the two Chinese stock exchanges, the Shanghai Stock Exchange (SSE) and the Shenzhen Stock Exchange (SZSE)./nHistorically, China A-shares were only available for purchase by mainland citizens due to China's restrictions on foreign investment./nChina A-shares are different from B-shares; A-shares are only quoted in RMB, while B-shares are quoted in foreign currencies, such as the U.S. dollar, and are more widely available to foreign investors.",https://www.investopedia.com/terms/a/a-shares.asp
"A-B Trust: Definition, How It Works, Tax Benefits","An A-B trust is a joint trust created by a married couple; upon one spouse's death, the trust splits into a survivor portion (the A trust) and a bypass portion (the decedent's trust, or B trust)./nVia the split, the A-B trust effectively minimizes estate taxes and defers them until after the death of the surviving spouse./nThe surviving spouse has limited control over the decedent's trust but the terms of the decedent's trust can be set to allow the surviving spouse to access the assets, and even draw income from them./nA-B trusts are no longer widely used as the estate tax exemption, which is now indexed to inflation, is sufficient for most estates.",https://www.investopedia.com/terms/a/a-b-trust.asp
"AAA: Definition as Credit Rating, Criteria, and Types of Bonds","The highest possible rating that a bond may achieve is AAA, which is only bestowed upon those bonds that exhibit the highest levels of creditworthiness./nThis AAA rating is used by Fitch Ratings and Standard & Poor’s, while Moody’s uses a similar Aaa lettering./nBonds that receive AAA ratings are viewed as the least likely to default./nIssuers of AAA-rated bonds generally have no trouble finding investors, although the yield offered on these bonds is lower than other tiers because of the high credit rating.",https://www.investopedia.com/terms/a/aaa.asp
"AARP: Overview, Affiliates, Lobbying for Members Age 50+","AARP is a nonprofit, nonpartisan organization with a mission to empower retired people to choose how they live as they age./nAARP offers membership benefits including discounts, healthcare options, insurance products, travel-related services, education, and learning resources./nAARP has grown to be a powerful organization, with nearly 38 million active members and a strong lobbying presence in Washington and state capitals.",https://www.investopedia.com/terms/a/aarp.asp
"Abenomics: Definition, History, and Shinzo Abe's Three Arrows","Abenomics is a set of economic policies championed by Japanese prime minister, Shinzo Abe, when he came into power a second time in 2012./nAbenomics was originally described as a three arrow approach of increasing the money supply, undertaking government spending to stimulate the economy, and undertaking economic and regulatory reforms to make Japan more competitive in the global market./nAbenomics has grown as prime minister Abe continues to govern Japan, and now encompasses goals for female employment, sustainable growth, and a concept known as Society 5.0 which is aimed at the further digitalization of Japan.",https://www.investopedia.com/terms/a/abenomics.asp
Ability-to-Pay Taxation: Definition and Examples,"The ability-to-pay principle holds that those who have a greater ability to pay taxes—measured by income and wealth—should pay more./nOne idea behind ""ability to pay"" is that those who have enjoyed success should be willing to give back a little more to the society that helped make that success possible./nProponents of ability-to-pay taxation argue that a single dollar ultimately means less to a rich person than a wage earner, so the rich should pay more to equalize their sacrifice.",https://www.investopedia.com/terms/a/ability-to-pay-taxation.asp
"Abnormal Return: Definition, Causes, Example","An abnormal return is one that deviates from an investment's expected return./nThe presence of abnormal returns, which can be either positive or negative in direction, helps investors determine risk-adjusted performance./nAbnormal returns can be produced by chance, due to some external or unforeseen event, or as the result of bad actors./nA cumulative abnormal return (CAR) is the sum total of all abnormal returns and can be used to measure the effect lawsuits, buyouts, and other events have on stock prices.",https://www.investopedia.com/terms/a/abnormalreturn.asp
"Absolute Return: Definition, Example, Vs. Relative Return","Absolute return is the return that an asset achieves over a certain period./nReturns can be positive or negative and may be considered unrelated to other market activities./nAbsolute return, unlike relative return, does not make any comparison against other possible investments or to a benchmark.",https://www.investopedia.com/terms/a/absolutereturn.asp
"Absolute Advantage: Definition, Benefits, and Example","Absolute advantage is when a producer can provide a good or service in greater quantity for the same cost, or the same quantity at a lower cost, than its competitors./nA concept developed by Adam Smith, absolute advantage can be the basis for large gains from trade between producers of different goods with different absolute advantages./nBy specialization, division of labor, and trade, producers with different absolute advantages can always gain more than producing and consuming in isolation./nAbsolute advantage can be contrasted with comparative advantage, which is the ability to produce goods and services at a lower opportunity cost.",https://www.investopedia.com/terms/a/absoluteadvantage.asp
"Absorption Costing Explained, With Pros and Cons and Example","Absorption costing differs from variable costing because it allocates fixed overhead costs to each unit of a product produced in the period./nAbsorption costing allocates fixed overhead costs to a product whether or not it was sold in the period./nThis type of costing method means that more cost is included in the ending inventory, which is carried over into the next period as an asset on the balance sheet./nBecause more expenses are included in ending inventory, expenses on the income statement are lower when using absorption costing.",https://www.investopedia.com/terms/a/absorptioncosting.asp
"Accelerated Depreciation: What Is It, How to Calculate It","Accelerated depreciation is any depreciation method that allows for the recognition of higher depreciation expenses during the earlier years./nThe key accelerated depreciation methods include double-declining balance and sum of the years’ digits (SYD)./nAccelerated depreciation is unlike the straight-line depreciation method, where the latter spreads the depreciation expenses evenly over the life of the asset./nCompanies may use accelerated depreciation for tax purposes, as these methods result in a deferment of tax liabilities since income is lower in earlier periods.",https://www.investopedia.com/terms/a/accelerateddepreciation.asp
What Is Absorption Rate in Real Estate?,"The absorption rate is commonly used in the real estate market to determine how many homes are sold at a particular time./nThe equation can determine how long it would take to sell the supply of homes on the market./nRealtors, appraisers, and lending institutions use absorption rates to understand market conditions and adjust terms accordingly.",https://www.investopedia.com/terms/a/absorption-rate.asp
"Accepting Risk: Definition, How It Works, and Alternatives","Accepting risk, or risk retention, is a conscious strategy of acknowledging the possibility for small or infrequent risks without taking steps to hedge, insure, or avoid those risks./nThe rationale behind risk acceptance is that the costs to mitigate or avoid risks are too great to justify given the small probabilities of a hazard, or the small estimated impact it may have./nSelf-insurance is a form of risk acceptance. Insurance, on the other hand, transfers risk to a third-party.",https://www.investopedia.com/terms/a/accepting-risk.asp
