Term,Definition,URL
12b-1 Fund: What It Means and how It Works,"A 12b-1 fund carries a 12b-1 fee, which covers a fund's sales and distribution costs., This fee is a percentage of the fund's market value, as opposed to funds that charge a load or sales fee., 12b-1 fees include the cost of marketing and selling fund shares, paying brokers and other sellers of the funds, as well as advertising costs, such as printing and mailing fund prospectuses to investors., Once popular, 12b-1 funds have lost investor interest in recent years, particularly amid the rise of exchange-traded funds (ETFs) and low-cost mutual funds.",https://www.investopedia.com/terms/1/12b-1-fund.asp
"18-Hour City: What it Means, How it Works, Examples","Eighteen-hour cities are vibrant smaller metro areas that are proving attractive to new residents, entrepreneurs and investors., They boast lower living costs along with solid infrastructure and appealing amenities., Many have emerged as alternatives to big cities for starting or relocating a business or investing in real estate.",https://www.investopedia.com/terms/1/18hour-city.asp
"130-30 Strategy: What it is, How it Works","This investing strategy makes use of shorting stocks and putting the cash from shorting those shares to work buying and holding the best-ranked stocks for a designated period., These strategies tend to work well for limiting the drawdown that comes in investing., They do not appear to keep up with major averages in total returns but do have better risk-adjusted returns.",https://www.investopedia.com/terms/1/130-30_strategy.asp
"183-Day Rule: Definition, How It's Used for Residency, and Example","The 183-day rule refers to criteria used in many countries to determine tax residency of individuals., In general, individuals are considered residents if they are physically present in a country for at least 183 days in a calendar year., The U.S. Internal Revenue Service uses a more complicated formula, which considers both presence in a given year, as well as a fraction of presence in the two prior years., The U.S. hastax treatieswith other countries which concern what taxes individuals owe and to whom, as well as what exemptions may apply., U.S. citizens and residents may exclude up to $120,000 of their foreign-earned income in 2023 if they meet the physical presence test for and paid taxes in a foreign country.",https://www.investopedia.com/terms/1/183-day-rule.asp
"1979 Energy Crisis: Definition, History, Causes, and Impact","The energy crisis of 1979 was one of two oil price shocks during the 1970s—the other was in 1973., Higher prices and concerns about supplies led to panic buying in the gasoline market., Crude oil prices nearly doubled to almost $40 per barrel in twelve months., The energy crisis of 1979 led to the development of smaller, more fuel-efficient vehicles., OPEC's market share fell sharply and utility companies moved toward alternative energy sources.",https://www.investopedia.com/terms/1/1979-energy-crisis.asp
What is a 2-1 Buydown Loan and How do They Work,"A 2-1 buydown is a type of financing that lowers the interest rate on a mortgage for the first two years before it rises to the regular, permanent rate., The rate is typically two percentage points lower during the first year and one percentage point lower in the second year., Sellers, including home builders, may offer a 2-1 buydown to make a property more attractive to buyers., 2-1 buydowns can be a good deal for homebuyers, provided that they will be able to afford the higher monthly payments once those begin.",https://www.investopedia.com/terms/1/2-1_buydown.asp
"2-2-8 Adjustable-Rate Mortgage (2/28 ARM): Meaning, How It Works","2/28 adjustable-rate mortgages (ARMs) offer an introductory fixed rate for two years, after which the interest rate adjusts semiannually for 28 more years., When ARMs adjust, interest rates change based on their marginal rates and the indexes to which they’re tied., Homeowners generally have lower mortgage payments during the introductory period, but are subject to interest rate risk afterward.",https://www.investopedia.com/terms/2/228arm.asp
"2000 Investor Limit: What It is, How It Works, Example","The 2,000 investor limit or rule is a key threshold for private businesses that do not wish to disclose financial information for public consumption., A business with more than 2,000 distinct shareholders, totaling $10 million or more in capital, must file with the SEC even if it is a privately-held company., Congress raised the limit from 500 individual investors to 2,000 investors in 2016 as part of the JOBS and FAST Acts.﻿﻿, The increased investor limit has opened greater possibility for equity crowdfunding.",https://www.investopedia.com/terms/1/2000-investor-limit.asp
2011 U.S. Debt Ceiling Crisis: Meaning and Outcome,"The 2011 U.S. Debt Ceiling Crisis was one of a series of recurrent debates over increasing the total size of the U.S. national debt., In 2008, the federal budget deficit stood at $458.6 billion, which widened to $1.4 trillion the following year as the government spent heavily to boost the economy., Congress passed a law to resolve the crisis that increased the debt ceiling by $2.4 trillion., As a result of the crisis, the United States’ credit rating was reduced from AAA to AA+ by Standard & Poor’s., The 2011 debt ceiling crisis had implications for future debt ceiling discussions.",https://www.investopedia.com/terms/1/2011-debt-ceiling-crisis.asp
"3-2-1 Buydown Mortgage: Meaning, Pros and Cons, FAQs","With a 3-2-1 buydown mortgage, the borrower pays a lower than normal interest rate over the first three years of the loan., The loan interest rate is reduced by 3% in the first year, 2% in the second year, and 1% in the third year; for example, a 5% mortgage would be just 2% in year one., After the buydown period ends, the lender charges the full interest rate for the remainder of the mortgage term., Buydowns are often used by sellers, including home builders, to help buyers afford a property.",https://www.investopedia.com/terms/1/3-2-1_buydown.asp
"25% Rule: What it Means, How it Works, Rules","The 25% rule can refer to either public finance or intellectual property law., In public finance, the 25% rule prescribes that a public entity’s total debt should not exceed one-quarter of its annual budget., In intellectual property, the 25% rule suggests the reasonable royalty that a license should pay an intellectual property holder on profits.",https://www.investopedia.com/terms/1/25-percent-rule.asp
3-6-3 Rule: Slang Term for How Banks Used to Operate,"The 3-6-3 rule is a slang term from the 1950s, 1960s, and 1970s, which involved paying depositors 3% interest on account, lending money at 6% interest, and the ability to be playing golf by 3 p.m., The 3-6-3 rule describes the structure behind paying account holders a lower interest rate on deposits and changing a higher rate when loaning out the money, The net interest rate spread is the difference between the rates a bank pays customers and what it receives in income-generating activities, The government implemented tighter banking regulations after the Great Depression controlling the rate banks could lend money and reducing bank-to-bank competition, Looser regulation after the 1970s allowed banks to operate in a more competitive and complex fashion and provide additional services to customers",https://www.investopedia.com/terms/1/3_6_3_rule.asp
3/27 Adjustable-Rate Mortgage (ARM),"A 3/27 adjustable-rate mortgage (ARM) is a 30-year mortgage with a three-year fixed interest rate period., The fixed interest rate is generally lower than the current rates on 30-year conventional mortgages., After three years, and for the remaining 27 years of the loan, the interest rate will float based on an index, such as the yield on one-year U.S. Treasury bills., Because their monthly payments can rise significantly once the interest rate adjusts, borrowers should plan carefully before taking out a 3/27 ARM to make sure it will still be affordable.",https://www.investopedia.com/terms/1/327arm.asp
What Is 3C1 and How Is the Exemption Applied?,"3C1 refers to a portion of the Investment Company Act of 1940 that exempts certain private investment companies from regulations., A firm that's defined as aninvestment companymust meet specific regulatory and reporting requirements stipulated by the SEC., 3C1 allows private funds with 100 or fewer investors and no plans for an initial public offering to sidestep certain SEC requirements.",https://www.investopedia.com/terms/1/3c1.asp
3(c)(7) Exemption: What It Is and How It Works,"The 3(c)(7) exemption refers to the Investment Company Act of 1940's section permitting qualifying private funds exemption from some SEC regulations., Private funds must not plan to issue an IPO, and their investors must be qualified purchasers to qualify for the 3C7 exemption., 3C7 funds with over 1,999 investors are required to register with the SEC.",https://www.investopedia.com/terms/1/3c7.asp
"3P Oil Reserves: What it Means, How it Works","3P oil reserves are the total amount of estimated reserves inclusive of all proven and unproven reserves that a company has access to., Each category of reserve used in the calculation has a probability assigned to it in terms of the viability of recovering crude oil., Most oil and gas companies provide rosy estimates of their 3P oil reserves; hence, investors rely on findings by independent consultants to assess their stock picks.",https://www.investopedia.com/terms/1/3p.asp
"30-Year Treasury: Meaning, History, Examples","30-year Treasuries are bonds issued by the U.S. government and have a maturity of 30 years., Other securities issued by the U.S. government include Treasury bills, notes, and Inflation-Protected Securities (TIPS)., 30-year Treasuries pay interest semiannually until they mature and at maturity pay the face value of the bond.",https://www.investopedia.com/terms/1/30-yeartreasury.asp
"401(a) Plan: What It Is, Contribution Limits, Withdrawal Rules","A 401(a) plan is employer-sponsored, and both the employer and employee can contribute., 401(a) plans are usually used by government and non-profit organizations., 401(a) plans give the employer a larger share of control over how the plan is invested., An employee can withdraw funds from a 401(a) plan through a rollover to a different qualified retirement plan, a lump-sum payment, or an annuity., Investments in 401(a) plans are low risk and typically include government bonds and funds focused on value-based stocks.",https://www.investopedia.com/terms/1/401a-plan.asp
"3D Printing: What It Is, How It Works, Examples","Three-dimensional (3D) printing is an additive manufacturing process in which a physical object is created from a digital design by printing thin layers of material and then fusing them together., Some industries, such as hearing aids manufacturers, airline manufacturers, and car manufacturers, use 3D printing to create prototypes and mass produce their products using custom scans., While it is currently too slow to be used in mass production, 3D printing technology is still evolving and has the potential to massively disrupt both the manufacturing logistics and inventory management industries.",https://www.investopedia.com/terms/1/3d-printing.asp
"341 Meeting: What It Is, How It Works, Example","A 341 meeting is intended to establish the facts of the bankruptcy in question and to facilitate the negotiation of a repayment plan between the debtor and their creditors., To be considered legally valid, the meeting must include both the individual filing for bankruptcy and the court-appointed bankruptcy trustee., Generally, 341 meetings occur at the offices of the trustee, rather than in a courtroom.",https://www.investopedia.com/terms/1/341-meeting.asp
What Is a 403(b) Tax-Sheltered Annuity Plan?,"The 403(b) Tax-Sheltered Annuity Plan serves employees of public schools and tax-exempt organizations., Contributions to 403(b) plans are made through payroll deductions., The IRS limits how much employees can contribute to their 403(b) plans., Investment choices may be more limited with a 403(b) and some accounts offer less protection from creditors than 401(k)s.",https://www.investopedia.com/terms/1/403bplan.asp
"408(k) Plan: What it is, How it Works, Compared to 401(k)","A 408(k) is an employer-sponsored retirement plan akin to a 401(k)., The plan is also referred to as a simplified employee pension, which is a type of individual retirement account., The 408(k) plan is available to companies of any size as well as self-employed individuals who are subject to the same contribution limits as employers., Only employer contributions are allowed into the 408(k) plan., The IRS limits how much employers can contribute to their employees' 408(k) plans.",https://www.investopedia.com/terms/1/408-k-plan.asp
What Is a 401(k) and How Does It Work?,"A 401(k) plan is a company-sponsored retirement account in which employees can contribute a percentage of their income. Employers often offer to match at least some of these contributions., There are two basic types of 401(k)s—traditional and Roth—which differ primarily in how they're taxed., Employer contributions can be made to both traditional and Roth 401(k) plans.",https://www.investopedia.com/terms/1/401kplan.asp
"412(i) Plan: What it Means, How it Works","A 412(i) plan was a defined-benefit pension plan that was designed for small business owners in the U.S., A 412(i) was a tax-qualified benefit plan, meaning the owner's contributions to the plan became a tax deduction for the company., Guaranteed annuities or a combination of annuities and life insurance were the only things that could fund the plan., Due to tax avoidance schemes that were occurring under 412(i), the Internal Revenue Service (IRS) replaced it with 412(e)(3).",https://www.investopedia.com/terms/1/412i.asp
457 Plan,"The 457 plan is an IRS-sanctioned, tax-advantaged employee retirement plan., The plan is offered only to public service employees and employees at tax-exempt organizations., Participants are allowed to contribute up to 100% of their salaries up to a dollar limit for the year., The interest and earnings in the account are not taxed until the funds are withdrawn. The exception is the Roth option, if available, in which only post-tax money is deposited.",https://www.investopedia.com/terms/1/457plan.asp
"48-Hour Rule: What It is, How It Works, Example","The 48-hour rule refers to a part of the mortgage allocation process related to the buying and selling of to-be-announced (TBA) mortgage-backed securities (MBS)., The 48-hour rule stipulates that the seller of an MBS notifies the buyer with the details of the underlying mortgages that make up the MBS by 3 p.m. Eastern Time, 48 hours before the settlement date., The Securities Industry and Financial Markets Association (SIFMA) enforces the 48-hour rule., When an MBS is traded in the secondary market, the underlying mortgages are not known, which helps facilitate trading and liquidity., Certain information is agreed upon when an MBS trade is made, such as the price, par, and coupon, but not the underlying mortgages., The TBA market is the second most traded secondary market after the U.S. Treasury market.",https://www.investopedia.com/terms/1/48-hour-rule.asp
5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM) Examples,"5/1 hybrid adjustable-rate mortgages (ARMs) offer an introductory fixed rate for five years, after which the interest rate adjusts annually., When ARMs adjust, interest rates change based on their marginal rates and the indexes to which they’re tied., Homeowners generally enjoy lower mortgage payments during the introductory period., A fixed-rate mortgage may be preferable for homeowners who prefer predictability with their mortgage payments and interest costs.",https://www.investopedia.com/terms/1/5-1_arm.asp
"500 Shareholder Threshold: What it is, How it Works","The 500 shareholder threshold was a rule mandated by the SEC that required companies to publicly disclose financial statements and other information if they achieved 500 or more distinct shareholders., The rule, in place from 1964-2012, was meant to discourage fraud, opacity, and misinformation alleged in the over-the-counter market., Today, the shareholder threshold is now 2,000, largely in response to the rapid growth of investment in tech start-ups that caused the 500 limit to be reached too quickly.",https://www.investopedia.com/terms/5/500-shareholder-threshold.asp
"51% Attack: Definition, Who Is At Risk, Example, and Cost","Blockchains are distributed ledgers that record every transaction made on a cryptocurrency's network., A 51% attack is an attack on a blockchain by an entity or group that controls more than 50% of the network., Attackers with majority network control can interrupt the recording of new blocks by preventing other miners from completing blocks., Changing historical blocks is impossible due to the chain of information stored in Bitcoin's blockchain., Although a successful attack on Bitcoin or Ethereum is unlikely, smaller networks are frequent targets for 51% attacks.",https://www.investopedia.com/terms/1/51-attack.asp
5/6 Hybrid Adjustable-Rate Mortgage (ARM) Definition,"A 5/6 hybrid ARM has an interest rate fixed for the first five years, then adjusts every six months., The adjustable interest rate on 5/6 hybrid ARMs is usually tied to a common benchmark index., A risk associated with an adjustable interest rate is that a rising rate may make monthly payments unaffordable.",https://www.investopedia.com/terms/1/5-6_hybrid_arm.asp
"501(c) Organization: What They Are, Types, and Examples","Section 501(c) of the Internal Revenue Code designates certain types of organizations as tax-exempt—they pay no federal income tax., Common tax-exempt organizations include charities, government entities, advocacy groups, educational and artistic groups, and religious entities., The 501(c)(3) organization is probably the most familiar entity., Donations to certain qualified tax-exempt organizations may be deductible from a taxpayer's income.",https://www.investopedia.com/terms/1/501c.asp
"501(c)(3) Organization: What It Is, Pros and Cons, Examples","Section 501(c)(3) is a portion of the U.S. Internal Revenue Code (IRC) and a specific tax category for nonprofit organizations., Organizations that meet the requirements of Section 501(c)(3) are exempt from federal income tax., The IRS recognizes more than 30 types of nonprofit organizations but only organizations that qualify for 501(c)(3) status can say that donations made to them are tax deductible., 501(c)(3) organizations must pay their employees fair market value wages., The nonprofit organization must not deviate from its purpose or mission to receive its favorable tax treatment.",https://www.investopedia.com/terms/1/501c3-organizations.asp
"52-Week High/Low: Definition, Role in Trading, and Example","The 52-week high/low is the highest and lowest price at which a security has traded during the time period that equates to one year and is viewed as a technical indicator., The 52-week high/low is based on the daily closing price for the security., Typically, the 52-week high represents a resistance level, while the 52-week low is a support level that traders can use to trigger trading decisions.",https://www.investopedia.com/terms/1/52weekhighlow.asp
"52-Week Range: Overview, Examples, Strategies","The 52-week range is designated by the highest and lowest published price of a security over the previous year., Analysts use this range to understand volatility., Technical analysts use this range data, combined with trend observations, to get an idea of trading opportunities.",https://www.investopedia.com/terms/1/52-week-range.asp
"60-Plus Delinquencies: Meaning, Foreclosure, Example","The 60-plus delinquency rate is a metric typically used to measure the number of mortgage loans that are more than 60 days past due on their monthly payments., A 60-plus delinquency rate is often expressed as a percentage of a group of loans that have been underwritten within a specified time period, such as one year., The 60-plus delinquency rate is helpful because it shows lenders the consumers who might default on their loans.",https://www.investopedia.com/terms/1/60-plus-delinquencies.asp
"8-K (8K Form): Definition, What It Tells You, Filing Requirements","The SEC requires companies to file an 8-K to announce significant events relevant to shareholders., Companies have four business days to file an 8-K for most specified items., Public companies use Form 8-K as needed, unlike some other forms that must be filed annually or quarterly., Form 8-K is a valuable source of complete and unfiltered information for investors and researchers.",https://www.investopedia.com/terms/1/8-k.asp
"80-10-10 Mortgage: Meaning, Benefits and Examples","An 80-10-10 mortgage is structured with two mortgages: the first being a fixed-rate loan at 80% of the home’s cost; the second being 10% as a home equity loan; and the remaining 10% as a cash down payment., This type of mortgage scheme reduces the down payment of a home without having to pay private mortgage insurance (PMI), helping borrowers obtain a home more easily with the up-front costs., However, borrowers will face relatively larger monthly mortgage payments and may see higher payments due on the adjustable loan if interest rates increase.",https://www.investopedia.com/terms/8/80_10_10_mortgage.asp
"The 80-20 Rule (aka Pareto Principle): What It Is, How It Works","The 80-20 rule maintains that 80% of outcomes comes from 20% of causes., The 80-20 rule prioritizes the 20% of factors that will produce the best results., A principle of the 80-20 rule is to identify an entity's best assets and use them efficiently to create maximum value., This rule is a precept, not a hard-and-fast mathematical law., People sometimes mistakenly conclude that if 20% of factors should get priority, then the other 80% can be ignored.",https://www.investopedia.com/terms/1/80-20-rule.asp
83(b) Election: Tax Strategy and When and Why to File,"The 83(b) election is a provision under the Internal Revenue Code (IRC) that gives an employee, or startup founder, the option to pay taxes on the total fair market value of restricted stock at the time of granting., The 83(b) election applies to equity that is subject to vesting., The 83(b) election alerts the Internal Revenue Service (IRS) to tax the elector for the ownership at the time of granting, rather than at the time of stock vesting.",https://www.investopedia.com/terms/1/83b-election.asp
"8(a) Firm: Meaning, Purpose, Qualifications","8(a) firms are small businesses that are owned and controlled by socially and economically disadvantaged individuals., The (8)a Business Development Program is run and administered by the SBA, or Small Business Administration, with the goal of giving a leg up to specially selected small businesses., The 8(a) program helps aspiring entrepreneurs obtain government contracts and also includes mentoring, procurement assistance, training, financial assistance, management assistance, and technical assistance, among other benefits., Applicants go through a rigorous application process for 8(a) status. 8 (a) status lasts up to nine years from when it is granted.",https://www.investopedia.com/terms/1/8a-firm.asp
"90/10 Investing Strategy: Definition, How It Works, Pros & Cons","The 90/10 strategy calls for allocating 90% of your investment capital to low-cost S&P 500 index funds and the remaining 10% to short-term government bonds., Warren Buffett described the strategy in a 2013 letter to his company's shareholders., A 90/10 investing strategy is very aggressive compared to other common asset allocation models and probably not for everyone.",https://www.investopedia.com/terms/1/90-10-strategy.asp
"A-B Trust: Definition, How It Works, Tax Benefits","An A-B trust is a joint trust created by a married couple; upon one spouse's death, the trust splits into a survivor portion (the A trust) and a bypass portion (the decedent's trust, or B trust)., Via the split, the A-B trust effectively minimizes estate taxes and defers them until after the death of the surviving spouse., The surviving spouse has limited control over the decedent's trust but the terms of the decedent's trust can be set to allow the surviving spouse to access the assets, and even draw income from them., A-B trusts are no longer widely used as the estate tax exemption, which is now indexed to inflation, is sufficient for most estates.",https://www.investopedia.com/terms/a/a-b-trust.asp
"China A-Shares: Definition, History, Vs. B-Shares","China A-shares are the stock shares of mainland China-based companies that trade on the two Chinese stock exchanges, the Shanghai Stock Exchange (SSE) and the Shenzhen Stock Exchange (SZSE)., Historically, China A-shares were only available for purchase by mainland citizens due to China's restrictions on foreign investment., China A-shares are different from B-shares; A-shares are only quoted in RMB, while B-shares are quoted in foreign currencies, such as the U.S. dollar, and are more widely available to foreign investors.",https://www.investopedia.com/terms/a/a-shares.asp
"AAA: Definition as Credit Rating, Criteria, and Types of Bonds","The highest possible rating that a bond may achieve is AAA, which is only bestowed upon those bonds that exhibit the highest levels of creditworthiness., This AAA rating is used by Fitch Ratings and Standard & Poor’s, while Moody’s uses a similar Aaa lettering., Bonds that receive AAA ratings are viewed as the least likely to default., Issuers of AAA-rated bonds generally have no trouble finding investors, although the yield offered on these bonds is lower than other tiers because of the high credit rating.",https://www.investopedia.com/terms/a/aaa.asp
"AARP: Overview, Affiliates, Lobbying for Members Age 50+","AARP is a nonprofit, nonpartisan organization with a mission to empower retired people to choose how they live as they age., AARP offers membership benefits including discounts, healthcare options, insurance products, travel-related services, education, and learning resources., AARP has grown to be a powerful organization, with nearly 38 million active members and a strong lobbying presence in Washington and state capitals.",https://www.investopedia.com/terms/a/aarp.asp
"Abenomics: Definition, History, and Shinzo Abe's Three Arrows","Abenomics is a set of economic policies championed by Japanese prime minister, Shinzo Abe, when he came into power a second time in 2012., Abenomics was originally described as a three arrow approach of increasing the money supply, undertaking government spending to stimulate the economy, and undertaking economic and regulatory reforms to make Japan more competitive in the global market., Abenomics has grown as prime minister Abe continues to govern Japan, and now encompasses goals for female employment, sustainable growth, and a concept known as Society 5.0 which is aimed at the further digitalization of Japan.",https://www.investopedia.com/terms/a/abenomics.asp
"Abnormal Return: Definition, Causes, Example","An abnormal return is one that deviates from an investment's expected return., The presence of abnormal returns, which can be either positive or negative in direction, helps investors determine risk-adjusted performance., Abnormal returns can be produced by chance, due to some external or unforeseen event, or as the result of bad actors., A cumulative abnormal return (CAR) is the sum total of all abnormal returns and can be used to measure the effect lawsuits, buyouts, and other events have on stock prices.",https://www.investopedia.com/terms/a/abnormalreturn.asp
Ability-to-Pay Taxation: Definition and Examples,"The ability-to-pay principle holds that those who have a greater ability to pay taxes—measured by income and wealth—should pay more., One idea behind ""ability to pay"" is that those who have enjoyed success should be willing to give back a little more to the society that helped make that success possible., Proponents of ability-to-pay taxation argue that a single dollar ultimately means less to a rich person than a wage earner, so the rich should pay more to equalize their sacrifice.",https://www.investopedia.com/terms/a/ability-to-pay-taxation.asp
"Absolute Advantage: Definition, Benefits, and Example","Absolute advantage is when a producer can provide a good or service in greater quantity for the same cost, or the same quantity at a lower cost, than its competitors., A concept developed by Adam Smith, absolute advantage can be the basis for large gains from trade between producers of different goods with different absolute advantages., By specialization, division of labor, and trade, producers with different absolute advantages can always gain more than producing and consuming in isolation., Absolute advantage can be contrasted with comparative advantage, which is the ability to produce goods and services at a lower opportunity cost.",https://www.investopedia.com/terms/a/absoluteadvantage.asp
Acceleration Clause: Explanation and Examples,"An acceleration clause or covenant is a contract provision that allows a lender to require a borrower to repay all of an outstanding loan if specific requirements are not met., The acceleration clause clearly outlines the reasons that the lender can demand loan repayment and the repayment required, such as maintaining a certain credit rating., An acceleration clause helps to protect lenders who extend financing to businesses in need of capital.",https://www.investopedia.com/terms/a/acceleration-clause.asp
"Absolute Return: Definition, Example, Vs. Relative Return","Absolute return is the return that an asset achieves over a certain period., Returns can be positive or negative and may be considered unrelated to other market activities., Absolute return, unlike relative return, does not make any comparison against other possible investments or to a benchmark.",https://www.investopedia.com/terms/a/absolutereturn.asp
"Absorption Costing Explained, With Pros and Cons and Example","Absorption costing differs from variable costing because it allocates fixed overhead costs to each unit of a product produced in the period., Absorption costing allocates fixed overhead costs to a product whether or not it was sold in the period., This type of costing method means that more cost is included in the ending inventory, which is carried over into the next period as an asset on the balance sheet., Because more expenses are included in ending inventory, expenses on the income statement are lower when using absorption costing.",https://www.investopedia.com/terms/a/absorptioncosting.asp
What Is Absorption Rate in Real Estate?,"The absorption rate is commonly used in the real estate market to determine how many homes are sold at a particular time., The equation can determine how long it would take to sell the supply of homes on the market., Realtors, appraisers, and lending institutions use absorption rates to understand market conditions and adjust terms accordingly.",https://www.investopedia.com/terms/a/absorption-rate.asp
Acceptable Quality Level (AQL): Definition and How It Works,"The acceptable quality level (AQL) is the worst quality level that is tolerable for a product., The AQL differs from product to product. Products that might cause more of a health risk will have a lower AQL., Batches of products that do not meet the AQL, typically based on a percentage measurement, are rejected when tested during pre-shipment inspections.",https://www.investopedia.com/terms/a/acceptable-quality-level-aql.asp
"Accelerated Depreciation: What Is It, How to Calculate It","Accelerated depreciation is any depreciation method that allows for the recognition of higher depreciation expenses during the earlier years., The key accelerated depreciation methods include double-declining balance and sum of the years’ digits (SYD)., Accelerated depreciation is unlike the straight-line depreciation method, where the latter spreads the depreciation expenses evenly over the life of the asset., Companies may use accelerated depreciation for tax purposes, as these methods result in a deferment of tax liabilities since income is lower in earlier periods.",https://www.investopedia.com/terms/a/accelerateddepreciation.asp
"Accepting Risk: Definition, How It Works, and Alternatives","Accepting risk, or risk retention, is a conscious strategy of acknowledging the possibility for small or infrequent risks without taking steps to hedge, insure, or avoid those risks., The rationale behind risk acceptance is that the costs to mitigate or avoid risks are too great to justify given the small probabilities of a hazard, or the small estimated impact it may have., Self-insurance is a form of risk acceptance. Insurance, on the other hand, transfers risk to a third-party.",https://www.investopedia.com/terms/a/accepting-risk.asp
